iter	Passed	Remaining
468	1545	1750
469	1548	1746
470	1550	1741
471	1552	1736
472	1553	1731
473	1554	1725
474	1556	1720
475	1557	1714
476	1563	1714
477	1565	1709
478	1566	1704
479	1568	1699
480	1569	1693
481	1571	1688
482	1572	1683
483	1578	1683
484	1580	1678
485	1582	1673
486	1584	1668
487	1586	1664
488	1587	1659
489	1593	1658
490	1596	1654
491	1597	1649
492	1598	1644
493	1601	1640
494	1602	1635
495	1608	1634
496	1610	1629
497	1612	1625
498	1614	1620
499	1616	1616
500	1618	1612
501	1624	1611
502	1627	1607
503	1629	1603
504	1633	1600
505	1634	1595
506	1638	1593
507	1640	1588
508	1642	1584
509	1643	1578
510	1644	1573
511	1645	1568
512	1648	1565
513	1650	1560
514	1652	1556
515	1653	1551
516	1654	1546
517	1656	1541
518	1657	1536
519	1660	1532
520	1662	1528
521	1663	1523
522	1665	1518
523	1666	1513
524	1668	1509
525	1669	1504
526	1672	1500
527	1674	1496
528	1675	1491
529	1676	1486
530	1678	1482
531	1679	1477
532	1680	1472
533	1683	1469
534	1685	1465
535	1687	1460
536	1688	1455
537	1689	1450
538	1690	1446
539	1692	1441
540	1695	1438
541	1698	1435
542	1700	1431
543	1701	1426
544	1703	1422
545	1704	1417
546	1706	1412
547	1707	1408
548	1718	1411
549	1719	1407
550	1721	1402
551	1722	1398
552	1724	1393
553	1726	1390
554	1728	1386
555	1730	1381
556	1731	1377
557	1732	1372
558	1734	1368
559	1735	1363
560	1741	1362
561	1743	1358
562	1744	1354
563	1746	1349
564	1747	1345
565	1749	1341
566	1750	1337
567	1755	1335
568	1758	1332
569	1760	1327
570	1761	1323
571	1763	1319
572	1764	1314
573	1765	1310
574	1771	1309
575	1774	1305
576	1775	1301
577	1777	1297
578	1778	1293
579	1781	1289
580	1787	1289
581	1789	1285
582	1790	1280
583	1792	1276
584	1795	1273
585	1799	1271
586	1802	1268
587	1804	1264
588	1806	1260
589	1808	1256
590	1817	1257
591	1819	1254
592	1821	1250
593	1823	1246
594	1824	1242
595	1826	1237
596	1832	1237
597	1835	1233
598	1836	1229
599	1839	1226
600	1841	1222
601	1846	1220
602	1848	1217
603	1850	1213
604	1851	1209
605	1853	1204
606	1854	1200
607	1856	1196
608	1861	1195
609	1863	1191
610	1865	1187
611	1866	1183
612	1868	1179
613	1869	1175
614	1870	1171
615	1875	1169
616	1878	1166
617	1880	1162
618	1881	1158
619	1883	1154
620	1884	1150
621	1885	1146
622	1889	1143
623	1893	1141
624	1895	1137
625	1897	1133
626	1898	1129
627	1900	1125
628	1902	1121
629	1904	1118
630	1906	1114
631	1908	1110
632	1909	1107
633	1910	1103
634	1911	1099
635	1913	1094
636	1917	1092
637	1919	1089
638	1921	1085
639	1922	1081
640	1924	1077
641	1925	1073
642	1927	1069
643	1928	1066
644	1933	1064
645	1936	1060
646	1937	1057
647	1938	1053
648	1940	1049
649	1941	1045
650	1943	1041
651	1950	1041
652	1953	1038
653	1955	1034
654	1956	1030
655	1957	1026
656	1959	1022
657	1961	1019
658	1963	1015
659	1965	1012
660	1970	1010
661	1975	1008
662	1979	1006
663	1981	1002
664	1997	1006
665	2000	1003
666	2002	999
667	2004	996
668	2006	992
669	2013	991
670	2016	988
671	2017	984
672	2019	981
673	2020	977
674	2021	973
675	2027	971
676	2030	968
677	2032	965
678	2033	961
679	2035	957
680	2036	953
681	2041	951
682	2044	948
683	2046	945
684	2047	941
685	2049	937
686	2050	934
687	2052	930
688	2060	930
689	2062	926
690	2064	922
691	2065	919
692	2067	915
693	2071	913
694	2075	910
695	2077	907
696	2079	903
697	2081	900
698	2082	896
699	2087	894
700	2089	891
701	2091	888
702	2093	884
703	2094	880
704	2096	877
705	2097	873
706	2102	871
707	2105	868
708	2106	864
709	2108	861
710	2109	857
711	2111	854
712	2113	850
713	2117	848
714	2121	845
715	2122	842
716	2124	838
717	2125	834
718	2127	831
719	2128	827
720	2134	825
721	2136	822
722	2137	819
723	2139	815
724	2141	812
725	2143	808
726	2147	806
727	2150	803
728	2152	800
729	2153	796
730	2155	793
731	2156	789
732	2157	785
733	2169	786
734	2171	782
735	2172	779
736	2175	776
737	2182	774
738	2184	771
739	2187	768
740	2188	764
741	2189	761
742	2195	759
743	2199	756
744	2200	753
745	2201	749
746	2202	746
747	2204	742
748	2205	739
749	2208	736
750	2209	732
751	2211	729
752	2212	725
753	2213	722
754	2215	718
755	2219	716
756	2222	713
757	2224	710
758	2226	706
759	2227	703
760	2229	700
761	2230	696
762	2235	694
763	2238	691
764	2240	688
765	2241	684
766	2243	681
767	2244	677
768	2245	674
769	2251	672
770	2253	669
771	2255	665
772	2256	662
773	2257	659
774	2259	655
775	2260	652
776	2262	649
777	2265	646
778	2267	643
779	2269	640
780	2270	636
781	2272	633
782	2274	630
783	2279	628
784	2282	625
785	2283	621
786	2284	618
787	2286	615
788	2287	611
789	2288	608
790	2293	606
791	2296	603
792	2298	599
793	2300	596
794	2301	593
795	2303	590
796	2304	586
797	2311	585
798	2313	582
799	2315	578
800	2316	575
801	2318	572
802	2319	569
803	2327	567
804	2329	564
805	2331	561
806	2332	557
807	2333	554
808	2335	551
809	2341	549
810	2343	546
811	2345	543
812	2348	540
813	2350	537
814	2358	535
815	2360	532
816	2363	529
817	2366	526
818	2376	525
819	2377	521
820	2379	518
821	2380	515
822	2381	512
823	2387	510
824	2390	506
825	2391	503
826	2393	500
827	2394	497
828	2396	494
829	2397	491
830	2402	488
831	2404	485
832	2407	482
833	2408	479
834	2410	476
835	2411	473
836	2412	469
837	2421	468
838	2424	465
839	2425	462
840	2426	458
841	2428	455
842	2435	453
843	2438	450
844	2440	447
845	2442	444
846	2443	441
847	2447	438
848	2452	436
849	2454	433
850	2455	429
851	2457	426
852	2459	423
853	2462	420
854	2463	417
855	2464	414
856	2466	411
857	2472	409
858	2475	406
859	2476	403
860	2478	400
861	2480	397
862	2481	393
863	2486	391
864	2489	388
865	2491	385
866	2492	382
867	2494	379
868	2495	376
869	2497	373
870	2502	370
871	2504	367
872	2507	364
873	2508	361
874	2509	358
875	2511	355
876	2512	352
877	2518	349
878	2520	347
879	2522	343
880	2523	340
881	2525	337
882	2526	334
883	2532	332
884	2538	329
885	2541	327
886	2543	323
887	2548	321
888	2553	318
889	2555	315
890	2557	312
891	2562	310
892	2565	307
893	2567	304
894	2568	301
895	2570	298
896	2571	295
897	2572	292
898	2578	289
899	2581	286
900	2583	283
901	2584	280
902	2585	277
903	2587	274
904	2588	271
905	2594	269
906	2597	266
907	2598	263
908	2600	260
909	2601	257
910	2602	254
911	2607	251
912	2610	248
913	2612	245
914	2614	242
915	2615	239
916	2616	236
917	2618	233
918	2623	231
919	2625	228
920	2627	225
921	2628	222
922	2630	219
923	2631	216
924	2632	213
925	2635	210
926	2637	207
927	2641	204
928	2643	202
929	2644	199
930	2646	196
931	2647	193
932	2651	190
933	2654	187
934	2656	184
935	2659	181
936	2661	178
937	2662	175
938	2665	173
939	2670	170
940	2672	167
941	2673	164
942	2675	161
943	2677	158
944	2682	156
945	2684	153
946	2686	150
947	2688	147
948	2689	144
949	2690	141
950	2692	138
951	2697	136
952	2700	133
953	2703	130
954	2705	127
955	2707	124
956	2712	121
957	2715	119
958	2717	116
959	2719	113
960	2721	110
961	2726	107
962	2729	104
963	2734	102
964	2736	99
965	2737	96
966	2743	93
967	2744	90
968	2746	87
969	2747	84
970	2754	82
971	2757	79
972	2758	76
973	2760	73
974	2762	70
975	2769	68
976	2774	65
977	2775	62
978	2777	59
979	2778	56
980	2783	53
981	2786	51
982	2788	48
983	2789	45
984	2791	42
985	2792	39
986	2793	36
987	2800	34
988	2802	31
989	2804	28
990	2805	25
991	2806	22
992	2808	19
993	2859	17
994	2865	14
995	2869	11
996	2871	8
997	2874	5
998	2876	2
999	2878	0
